﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าขนส่งสินค้า (ที่ขาย),26 - 30 คน,1584.25,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าขนส่งสินค้า (ที่ขาย),31 - 50 คน,10592.89,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าขนส่งสินค้า (ที่ขาย),51 - 200 คน,13224.91,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าขนส่งสินค้า (ที่ขาย),มากกว่า 200 คน,40310.61,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่านายหน้า,รวม,2506842.45,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่านายหน้า,1 - 15 คน,79335.12,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่านายหน้า,16 - 25 คน,56506.68,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่านายหน้า,26 - 30 คน,26720.28,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่านายหน้า,31 - 50 คน,261587.95,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่านายหน้า,51 - 200 คน,362228.4,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่านายหน้า,มากกว่า 200 คน,1720464.01,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ารับรอง,รวม,558472.23,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ารับรอง,1 - 15 คน,36649.68,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ารับรอง,16 - 25 คน,15043.85,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ารับรอง,26 - 30 คน,7563.29,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ารับรอง,31 - 50 คน,31354.53,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ารับรอง,51 - 200 คน,151033.08,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ารับรอง,มากกว่า 200 คน,316827.81,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ากำจัดขยะ,รวม,166154.33,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ากำจัดขยะ,1 - 15 คน,43269.88,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ากำจัดขยะ,16 - 25 คน,7071.09,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ากำจัดขยะ,26 - 30 คน,2034.87,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ากำจัดขยะ,31 - 50 คน,8885.65,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ากำจัดขยะ,51 - 200 คน,38458.19,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่ากำจัดขยะ,มากกว่า 200 คน,66434.66,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องใช้ที่ทำด้วยผ้า,รวม,1018039.23,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องใช้ที่ทำด้วยผ้า,1 - 15 คน,214804.89,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องใช้ที่ทำด้วยผ้า,16 - 25 คน,58457.69,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องใช้ที่ทำด้วยผ้า,26 - 30 คน,42292.78,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องใช้ที่ทำด้วยผ้า,31 - 50 คน,34765.2,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องใช้ที่ทำด้วยผ้า,51 - 200 คน,141546.91,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าเครื่องใช้ที่ทำด้วยผ้า,มากกว่า 200 คน,526171.76,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าผลิตภัณฑ์ทำความสะอาดต่าง ๆ,รวม,1274678.54,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าผลิตภัณฑ์ทำความสะอาดต่าง ๆ,1 - 15 คน,331008.64,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าผลิตภัณฑ์ทำความสะอาดต่าง ๆ,16 - 25 คน,49482.94,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าผลิตภัณฑ์ทำความสะอาดต่าง ๆ,26 - 30 คน,24011.8,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าผลิตภัณฑ์ทำความสะอาดต่าง ๆ,31 - 50 คน,84135.41,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าผลิตภัณฑ์ทำความสะอาดต่าง ๆ,51 - 200 คน,295905.34,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าผลิตภัณฑ์ทำความสะอาดต่าง ๆ,มากกว่า 200 คน,490134.41,พันบาท,สำนักงานสถิติแห่งชาติ
